producer,wines,reviews,avg_rating,avg_price,weighted_rating
Masseto,10,6650,4.68,1364.845,4.537
Carpano,3,7614,4.5,42.05,4.406
Dal,4,3393,4.6,236.625,4.395
Biondi-Santi,15,22147,4.427,355.988,4.395
Casanova,50,92727,4.352,183.425,4.345
Quintarelli,9,5409,4.4,571.586,4.302
Ornellaia,132,581167,4.298,225.049,4.297
Valdicava,4,4113,4.35,291.845,4.246
Gaja,72,130908,4.249,219.745,4.245
Guerrieri,14,11598,4.279,48.992,4.242
Parusso,4,2546,4.375,212.25,4.223
Altesino,28,41901,4.229,180.491,4.22
Antinori,393,1628250,4.21,203.326,4.209
Colterenzio,9,20190,4.222,124.261,4.205
Nativ,6,11410,4.233,43.798,4.203
Bartolo,3,1157,4.5,792.75,4.201
Castiglion,4,3452,4.3,179.81,4.2
Biserno,23,37577,4.209,212.862,4.2
Tinazzi,12,11135,4.225,49.299,4.195
Isole,18,19150,4.211,130.525,4.194
Roscato,3,49542,4.2,36.255,4.193
Tenuta,421,1252642,4.19,240.851,4.19
Cellaro,4,6806,4.225,278.867,4.18
Emidio,11,7601,4.218,186.908,4.178
Schola,8,8148,4.212,47.204,4.176
Caiarossa,8,4849,4.238,84.038,4.176
Ciacci,14,9413,4.207,113.737,4.175
Zenato,76,301477,4.17,122.104,4.169
Marina,15,25377,4.173,104.489,4.162
Luna,3,6639,4.2,59.663,4.159
