pattern,canonical_name,match_type
Castello di Ama,Castello di Ama,prefix
Tenuta San Guido,Tenuta San Guido,prefix
Marchesi Antinori,Marchesi Antinori,prefix
Marchese Antinori,Marchesi Antinori,prefix
Antinori,Marchesi Antinori,prefix
Fattoria Le Pupille,Fattoria Le Pupille,prefix
Fattoria Pupille,Fattoria Le Pupille,prefix
Gaja,Gaja,prefix
Biondi-Santi,Biondi-Santi,prefix
Frescobaldi,Marchesi de' Frescobaldi,prefix
Casanova di Neri,Casanova di Neri,prefix
Vietti,Vietti,prefix
Allegrini,Allegrini,prefix
Planeta,Planeta,prefix
Mastroberardino,Mastroberardino,prefix
Argiolas,Argiolas,prefix
Bruno Giacosa,Bruno Giacosa,prefix
Fontodi,Fontodi,prefix
Tenuta dell'Ornellaia,Tenuta dell'Ornellaia,prefix
Ornellaia,Tenuta dell'Ornellaia,prefix
Tenuta Masseto,Tenuta Masseto,prefix
Masseto,Tenuta Masseto,prefix
Solaia,Marchesi Antinori,prefix
Tignanello,Marchesi Antinori,prefix
Sassicaia,Tenuta San Guido,prefix
